screen_name,date,tweet,likes,retweets
chrisnelder,2020-09-17 15:56:11,@ayanaeliza @leahstokes LOLZ,2,0
chrisnelder,2020-09-17 14:28:49,@AwsHenry @croselund https://t.co/6zx56r4NJ0,5,1
chrisnelder,2020-09-17 03:53:23,"@DrewSmithee The kind of place where 105 is any day ending in ""y""",3,0
chrisnelder,2020-09-17 03:52:20,@tyler_bryant Thanks man!,0,0
chrisnelder,2020-09-17 03:42:39,"“Two of these deals seemed set to benefit Energy Transfer, the Texas company on whose board Perry served immediately before and after his stint in Washington. The biggest was worth an estimated $20 billion.” And Perry had $800k worth of stock. #Ukraine https://t.co/KWIDihNYoX",14,11
chrisnelder,2020-09-17 02:02:28,This is true! https://t.co/JDt09gcmtb,5,0
chrisnelder,2020-09-17 01:38:36,@ddpaolella @TransitionShow Thanks buddy!,0,0
chrisnelder,2020-09-17 01:05:15,@energybooknerd Thank you!,0,0
chrisnelder,2020-09-17 01:04:26,"Thank you sir! It's a honor to have a front-row seat to the most important story of our time, and get to interview some of the smartest people in the game. https://t.co/mnipUpuAh6",2,2
chrisnelder,2020-09-17 00:53:29,"@jgkoomey @MBazilian @TransitionShow @DustinMulvaney And there's no one I would rather check in with year after year than you, Jon. Thanks for being a steady contributor to our show!",5,1
chrisnelder,2020-09-17 00:48:05,@EliasHinckley Thanks buddy,0,0
chrisnelder,2020-09-17 00:44:56,And in no small part thanks to the support and guidance of people like @MBazilian! Thanks buddy. https://t.co/7VMnVpA7bX,3,1
chrisnelder,2020-09-16 20:47:41,"@HakonNordhagen Thanks Hakon, we shall carry on!",1,0
chrisnelder,2020-09-16 20:41:14,@simonnfox @TransitionShow Thanks Simon!,0,0
chrisnelder,2020-09-16 20:16:03,@harveymudd @JosephMajkut Wow! Very cool! #Chirp,1,0
chrisnelder,2020-09-16 19:42:52,@AzizSapphire Thank you sir!,1,0
chrisnelder,2020-09-16 18:00:32,"@reubenmunger Top 5 by what measure? The Geek Ratings can be a helpful way to find more accessible shows for beginners. You can use the navbar on our website, under Episodes, has filter &amp; sort functions; you can look for lower Geek Ratings there. Also they can try the Energy Basics miniseries!",0,0
chrisnelder,2020-09-16 17:43:10,Our humble little podcast is five years old! 🥳🍾 https://t.co/LPvjPLEiY4,119,7
chrisnelder,2020-09-16 15:40:57,"""You're on mute"" - The ""you've got mail"" of 2020.",23,2
chrisnelder,2020-09-16 14:47:05,"@CetiAlphaFumf @OliverBullough @BBCMoreOrLess @TransitionShow Thanks Peter. Oliver, if you go to our website https://t.co/sc1rrkyNMf and click on the Episodes button on the top navbar, you'll see a drop-down box for Miniseries and you can select our Climate Science miniseries from that.",2,0
chrisnelder,2020-09-16 00:48:51,@Eric_Becraft No. A Facebook reference.,0,0
chrisnelder,2020-09-15 20:44:50,"What if it turns out that Kim Kardashian, of all people, is the one who saves the Republic?",15,0
chrisnelder,2020-09-15 20:19:01,@PeterGleick As inexplicable as Ann Coulter being a Deadhead.,1,0
chrisnelder,2020-09-15 20:07:07,"@jgkoomey @Ed_Crooks Well, exactly. And it's about as tiresome as the role that CCS played in all major agency forecasts for the past decade or so. And both are still basically chimeras.",3,1
chrisnelder,2020-09-15 19:56:12,"@Ed_Crooks I can tell you what *I* am missing, and that's somebody to make forecasts like this that are *not* based on carbon pricing.",2,0
chrisnelder,2020-09-15 19:00:19,@jacob_mays No...but REBA might have some helpful data. https://t.co/5HwMLpgW92,1,0
chrisnelder,2020-09-15 17:27:41,"@NatBullard @RichardMeyerDC Well... it depends. Without actually doing the math, I suspect that supply could match the ""net zero"" scenario without additional E&amp;P; could probably meet the ""rapid"" scenario by cutting out high-cost wells; definitely need more E&amp;P to hit BAU scenario.",0,0
chrisnelder,2020-09-15 03:41:34,This is my shocked face 😶 https://t.co/LPRufiOxcJ,10,1
chrisnelder,2020-09-15 00:34:10,"Well, there's one part of the mystery solved. Expensive mistake! https://t.co/qZ32QmWDfl",18,2
chrisnelder,2020-09-14 21:14:53,@doug_parr Ah.,0,0
chrisnelder,2020-09-14 20:46:57,@doug_parr Why didn't Hinkley Point C make that list?,0,0
chrisnelder,2020-09-14 18:27:01,@pbronskiECO It's a time-honored tradition. https://t.co/g724vDHNoe,1,0
chrisnelder,2020-09-14 18:08:43,"@solar_chase @mtaylor_nz @CiaranMcNulty Ah, well, in that case...",1,0
chrisnelder,2020-09-14 18:01:55,"Exactly as you would expect someone from Health and Human Services to behave, right? https://t.co/QQucGrn6cx",15,4
chrisnelder,2020-09-14 17:58:53,"@solar_chase @mtaylor_nz @CiaranMcNulty Conversely, the rooftop solar system actually hits simple payback at some point. Whereas a kitchen remodel may not. So which is the better investment?",2,0
chrisnelder,2020-09-14 14:39:51,"@BSmithwood Probably, yes. But again...there are important definitional differences too. E.g., world *production* of *conventional* oil peaked in 2005, and there are a lot more natural gas liquids counted as ""oil"" these days. Etc.",0,0
