date,price,uup,gdp,prod,vader,textblob_polarity
2012-08-27,95.47,21.75,99.89521556289996,6353.225806451613,0.19279999999999997,0.0
2012-08-28,96.33,21.66,99.89280384222731,6386.58064516129,0.0,0.0
2012-08-29,95.49,21.7,99.89039212155465,6419.935483870968,0.23604444444444445,0.0851010101010101
2012-08-30,94.62,21.75,99.88798040088201,6453.290322580645,0.2597380952380952,0.09242424242424242
2012-08-31,96.47,21.61,99.88556868020936,6486.645161290322,0.28343174603174603,0.09974747474747474
2012-09-01,96.1775,21.6175,99.8831569595367,6520.0,0.3071253968253968,0.10707070707070707
2012-09-02,95.88499999999999,21.625,99.88118149968484,6524.966666666666,0.3308190476190476,0.11439393939393938
2012-09-03,95.5925,21.6325,99.879206039833,6529.933333333333,0.3545126984126984,0.12171717171717171
2012-09-04,95.3,21.64,99.87723057998113,6534.9,0.3782063492063492,0.12904040404040404
2012-09-05,95.36,21.62,99.87525512012928,6539.866666666667,0.4019,0.13636363636363635
2012-09-06,95.53,21.56,99.87327966027742,6544.833333333333,0.10010000000000001,0.11041666666666668
2012-09-07,96.42,21.33,99.87130420042557,6549.8,0.0,-0.07500000000000001
2012-09-08,96.46000000000001,21.35333333333333,99.8693287405737,6554.766666666666,-0.0007333333333333336,0.009374999999999994
2012-09-09,96.5,21.376666666666665,99.86735328072184,6559.733333333334,-0.0014666666666666671,0.09375
2012-09-10,96.54,21.4,99.86537782087,6564.7,-0.0022000000000000006,0.17812500000000003
2012-09-11,97.17,21.23,99.86340236101813,6569.666666666667,-0.0029333333333333342,0.2625
2012-09-12,97.01,21.21,99.86142690116628,6574.633333333333,0.0,0.0
2012-09-13,98.31,21.08,99.85945144131442,6579.6,0.19178571428571425,0.25362554112554114
2012-09-14,99.0,20.97,99.85747598146257,6584.566666666667,0.0,0.0
2012-09-15,98.20666666666666,20.98,99.85550052161071,6589.533333333334,-0.3182,0.0
2012-09-16,97.41333333333334,20.99,99.85352506175884,6594.5,-0.24519999999999997,0.048
2012-09-17,96.62,21.0,99.851549601907,6599.466666666666,-0.1722,0.096
2012-09-18,95.29,21.07,99.84957414205513,6604.433333333333,-0.09920000000000001,0.14400000000000002
2012-09-19,91.98,21.0,99.84759868220328,6609.4,-0.0262,0.192
2012-09-20,91.87,21.1,99.84562322235142,6614.366666666667,0.04680000000000001,0.24
2012-09-21,92.89,21.08,99.84364776249957,6619.333333333333,0.2023,0.375
2012-09-22,92.57000000000001,21.093333333333334,99.84167230264771,6624.3,0.26474166666666665,0.3523809523809524
2012-09-23,92.25,21.106666666666666,99.83969684279586,6629.266666666666,0.3271833333333333,0.32976190476190476
2012-09-24,91.93,21.12,99.837721382944,6634.233333333334,0.389625,0.30714285714285716
2012-09-25,91.37,21.16,99.83574592309213,6639.2,0.1948125,0.15357142857142858
2012-09-26,89.98,21.2,99.83377046324028,6644.166666666667,0.0,0.0
2012-09-27,91.85,21.14,99.83179500338842,6649.133333333333,0.14897500000000002,0.05
2012-09-28,92.19,21.24,99.82981954353657,6654.1,0.29795000000000005,0.1
2012-09-29,92.28666666666666,21.223333333333333,99.82784408368471,6659.066666666667,0.28511111111111115,0.17777777777777776
2012-09-30,92.38333333333334,21.206666666666667,99.82586862383286,6664.033333333334,0.27227222222222225,0.25555555555555554
2012-10-01,92.48,21.19,99.823893163981,6669.0,0.25943333333333335,0.3333333333333333
2012-10-02,91.89,21.17,99.82271478541385,6673.774193548387,0.7985,0.38125
2012-10-03,88.14,21.23,99.8215364068467,6678.548387096775,0.5068250000000001,0.3104166666666667
2012-10-04,91.71,21.09,99.82035802827956,6683.322580645161,0.017862499999999976,0.07881324404761905
2012-10-05,89.88,21.09,99.81917964971242,6688.096774193548,0.0,0.25
2012-10-06,89.69666666666666,21.10333333333333,99.81800127114528,6692.870967741936,0.5106,0.5
2012-10-07,89.51333333333334,21.116666666666667,99.81682289257813,6697.645161290323,0.31465000000000004,0.3125
2012-10-08,89.33,21.13,99.81564451401098,6702.419354838709,0.11870000000000003,0.125
2012-10-09,92.39,21.27,99.81446613544384,6707.193548387097,-0.07724999999999993,-0.0625
2012-10-10,91.25,21.22,99.81328775687669,6711.967741935484,-0.2732,-0.25
2012-10-11,92.07,21.18,99.81210937830954,6716.741935483871,0.8481,0.8
