DATE,USALORSGPNOSTSAM
1976-01-01,98.7473515787477
1976-02-01,98.9477117331611
1976-03-01,99.0780818685193
1976-04-01,99.1395563363986
1976-05-01,99.1439056173958
1976-06-01,99.107568550967
1976-07-01,99.0495548204661
1976-08-01,98.9885397002562
1976-09-01,98.9414491111972
1976-10-01,98.9222017988264
1976-11-01,98.9429791083797
1976-12-01,99.0134071746703
1977-01-01,99.136766245062
1977-02-01,99.3117788191943
1977-03-01,99.5304313096439
1977-04-01,99.7718925197593
1977-05-01,100.008800910924
1977-06-01,100.211842368635
1977-07-01,100.354643419353
1977-08-01,100.41898888585
1977-09-01,100.40426306295
1977-10-01,100.342241272214
1977-11-01,100.281090909379
1977-12-01,100.272921241854
1978-01-01,100.361676684002
1978-02-01,100.574006455881
1978-03-01,100.903072275394
