date,price,uup,gdp,prod,vader
2019-06-16,52.123333333333335,25.796666666666667,99.93799515028081,12200.0,-0.4019
2019-06-17,51.93,25.8,99.93750723969477,12200.0,0.3659666666666667
2019-06-18,53.9,25.84,99.93701932910874,12200.0,-0.11910000000000001
2019-06-19,53.76,25.72,99.93653141852269,12200.0,-0.03648333333333333
2019-06-20,56.65,25.57,99.93604350793666,12200.0,-0.014066666666666635
2019-06-21,57.43,25.44,99.93555559735061,12200.0,-0.3953333333333333
2019-06-22,57.586666666666666,25.426666666666666,99.93506768676457,12200.0,0.4497
2019-06-23,57.74333333333333,25.413333333333334,99.93457977617854,12200.0,0.0258
2019-06-24,57.9,25.4,99.93409186559249,12200.0,0.1358777777777778
2019-06-25,57.83,25.46,99.93360395500646,12200.0,-0.19063333333333332
2019-06-26,59.38,25.48,99.93311604442042,12200.0,-0.10418749999999999
2019-06-27,59.43,25.48,99.93262813383437,12200.0,0.07276666666666669
2019-06-28,58.47,25.46,99.93214022324834,12200.0,-0.04251666666666668
2019-06-29,58.67666666666667,25.523333333333333,99.9316523126623,12200.0,-0.013325000000000004
2019-06-30,58.88333333333333,25.586666666666666,99.93116440207626,12200.0,-0.1027
2019-07-01,59.09,25.65,99.93067649149022,12200.0,0.18732500000000005
2019-07-02,56.25,25.63,99.93038955922736,12206.451612903225,-0.09262857142857144
2019-07-03,56.67,25.63,99.93010262696453,12212.90322580645,0.17585
2019-07-04,57.089999999999996,25.695,99.92981569470167,12219.354838709678,0.64265
2019-07-05,57.51,25.76,99.92952876243882,12225.806451612903,-0.16519999999999999
2019-07-06,57.559999999999995,25.776666666666667,99.92924183017597,12232.258064516129,0.5927
2019-07-07,57.61,25.793333333333333,99.92895489791313,12238.709677419354,0.41886666666666666
2019-07-08,57.66,25.81,99.92866796565028,12245.161290322581,0.24503333333333333
2019-07-09,57.83,25.83,99.92838103338742,12251.612903225807,-0.10207500000000003
2019-07-10,60.43,25.72,99.92809410112459,12258.064516129032,-0.21660000000000001
2019-07-11,60.2,25.72,99.92780716886173,12264.516129032258,-0.3454
2019-07-12,60.21,25.68,99.92752023659888,12270.967741935483,0.0
2019-07-13,60.0,25.69333333333333,99.92723330433603,12277.41935483871,-0.3182
2019-07-14,59.79,25.706666666666667,99.92694637207319,12283.870967741936,-0.22145
2019-07-15,59.58,25.72,99.92665943981034,12290.322580645161,-0.110725
2019-07-16,57.62,25.83,99.92637250754748,12296.774193548386,0.0
2019-07-17,56.78,25.78,99.92608557528465,12303.225806451614,0.19166666666666665
2019-07-18,55.3,25.65,99.92579864302179,12309.677419354839,0.3833333333333333
2019-07-19,55.63,25.77,99.92551171075894,12316.129032258064,-0.23724000000000003
2019-07-20,55.82666666666667,25.786666666666665,99.9252247784961,12322.58064516129,-0.017470000000000013
2019-07-21,56.02333333333333,25.803333333333335,99.92493784623325,12329.032258064517,0.2023
2019-07-22,56.22,25.82,99.9246509139704,12335.483870967742,0.099275
2019-07-23,56.77,25.94,99.92436398170754,12341.935483870968,-0.04400000000000001
2019-07-24,55.88,25.94,99.9240770494447,12348.387096774193,0.0
2019-07-25,56.02,25.99,99.92379011718185,12354.838709677419,-0.2139
2019-07-26,56.2,26.03,99.923503184919,12361.290322580646,-0.4278
2019-07-27,56.42333333333333,26.03666666666667,99.92321625265616,12367.741935483871,-0.14989999999999998
